SRC	CSK	CHUK	RAC_f	Prosurvival	SRF	GSK3_f	CCND1	mTORC1_c	BAD	TSC_f	FOS	DUSP1	TGFBR2	ILR_f	SYK	IRAK1	SHC1	JAK_f	CBPp300_c	SKP2	TP53	SMAD7	SMAD6	DKK_f	FOXO_f	TCF7_f	DKK_g	MYC	EGR1	MMP_f	PTEN_g	RTPK_f	CTNNB1	LEF1	SFRP1	FZD_f	CASP8	REL_f	NFKB_f	DVL_f	LRP_f	BTRC	CK1_f	AXIN1	mTORC2_c	PDPK1	MEK_f	CYCS	CASP9	IRS1	MDM2	AKT_f	BCL2	RAF_f	RHEB	Antisurvival	RTPK_g	PTEN	CASP3	PIK3CA	CREBBP	PTPN11	KRAS	MAP2K4	MAP2K7	MAPK14	JNK_f	MAP2K3	ERK_f	LIF	PPP1CA	GAB_f	SOS1	PRKCA	VAV1	PLCG1	PRKCD	RSK_f	S6K_f	PLK1	ILK	SOCS1	DUSP6	STAT3	LIMK2	EP300	STAT1	IKBKB	PIAS1	TRAF6	SOCS1_g	ISGF3_c	STAT2	CFLAR	SMAD2	MDM2_g	BAX	PRKACA	TGFB1	MAP3K8	SMAD4	MAP3K5	AKT1S1	SKI	SMAD3	MAPKAPK2	DUSP1_g	MSK_f	GRAP2	TAB_f	ATF2	SMAD5	SMAD1	JUN	MAP3K7	NLK	SMAD7_g	SMAD6_g	AP1_c	ACVR1	PTPN6	CDC42	GRB2	TGFBR1	SMURF1	SMURF2	RHOA	BMPR2	PARD6A	DAAM1	SFRP1_g	PPM1A	CFL_f	PAK1	MAP3K11	MAP3K4	LIMK1	ROCK1	ITCH	ARHGAP24	TIAM1	RND3	MAPK8IP3
topology.sif_run_465__G19_M2.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0.5	0.5	0	1	0	1	0.5	0	1	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	0	1	1	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_387__G19_M1.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0	1	0.5	0.5	1	0	0	0	0.5	1	0	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	1	0	0	0.5	1	1	0	1	0	0.5	0.5	0	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_435__G19_M12.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0	0	0.5	0.5	0	0	0	0	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	0	0	1	0	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_395__G19_M3.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	0.5	1	0	0.5	0.5	0	0	1	0	0.5	1	1	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	1	0	1	1	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	1	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_351__G19_M2.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	1	0	0.5	0.5	0	0	0	0	0.5	1	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0	0.5	0	1	0	0.5	0	0	1	1	0	0.5	0.5	0	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_159__G19_M4.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0.5	0.5	1	0	0	0	0.5	0	1	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	1	0	1	0.5	1	0	1	1	0	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_418__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0.5	0.5	0	0	1	1	0.5	0	1	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	1	0.5	1	1	0	0.5	1	0	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	1	1	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_488__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	1	0	0.5	0.5	0	1	0	1	0.5	0	1	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	0	0	0	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_32__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	0.5	1	0	0.5	0.5	0	0	1	1	0.5	0	1	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	1	0.5	0	1	1	0.5	1	0	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_18__G19_M2.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	0.5	1	0	0.5	0.5	0	1	0	1	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	1	0	1	0.5	1	0	1	1	0	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_480__G19_M3.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0	0	0.5	0.5	0	0	0	0	0.5	1	1	0.5	0.5	0.5	1	0	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	1	0	1	0.5	0	0	0	1	0	0.5	0.5	0	1	0.5	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_195__G19_M5.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5	1	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	1	0	0	0.5	1	0	0	1	0	0.5	0.5	0	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0	0	1	0.5	0.5	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_120__G19_M1.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0	0	0.5	0.5	1	1	0	1	0.5	0	1	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	1	0	1	1	0	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_343__G19_M19.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0	0	0.5	0.5	0	0	0	0	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	1	0	1	0	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_344__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	1	0	0.5	0.5	1	0	0	1	0.5	0	1	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_476__G19_M0.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0	1	0.5	0.5	1	1	0	0	0.5	0	0	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	1	0	1	0.5	1	0	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	1	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_146__G19_M2.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0	0	0.5	0.5	0	1	0	0	0.5	0	1	0.5	0.5	0.5	0	0	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	1	0	0	0	0	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_431__G19_M9.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0	0	0.5	0.5	1	0	0	1	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	1	0.5	1	1	0	0.5	0	0	0	1	1	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_299__G19_M5.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0.5	0.5	0	0	0	1	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	1	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_224__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0	1	0	0	0.5	1	1	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	1	0	0	0.5	1	0	1	0	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_233__G19_M0.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	1	0	0.5	0.5	0	1	0	0	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	1	0	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_385__G19_M6.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	0.5	1	0	0.5	0.5	1	0	0	0	0.5	1	1	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	1	0	0	1	0	0.5	0.5	0	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_300__G19_M0.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0	0	0.5	0.5	1	0	0	0	0.5	0	1	0.5	0.5	0.5	0	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0	0.5	1	0	1	0.5	1	0	0	1	1	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_404__G19_M1.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	0.5	1	0.5	1	0	0.5	0.5	0	0	0	1	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	1	0.5	0	1	1	0.5	1	0	1	1	1	0.5	0.5	1	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_489__G19_M6.gitsbe	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0.5	1	0	0.5	0.5	0	0	0	0	0.5	0	1	0.5	0.5	0.5	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	1	0	0	0.5	1	0	0	1	0	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	0.5	1	0.5	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
topology.sif_run_209__G19_M3.gitsbe	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0.5	0.5	1	0	0	0	0.5	0	1	0.5	0.5	0.5	0	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0	0	1	0.5	1	0	1	1	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	0.5	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0	0	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	1	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
